word,pos_symbol,pos_word,meaning,score
áwa’,v,verb,to have compassion for.,0.511
áwas,v,verb,to overflow.,0.0
awát,v,verb,"to annoy, to waste another person’s time, to delay.",-0.791
áway,n,noun,"combat, fight, assault.;  opponent.",-0.832
áway,v,verb,"to fight, to go to war.",-0.832
áwto,n,noun,"car, automobile.",0.0
áy,intj,interjection,"oh, ouch, oh no.",0.0
-ay,va,verbal affix,variant of -an.,0.0
ayág,v,verb,"to sift, to screen, to strain.",-0.052
ayám,v,verb,to hunt.,0.0
ayáp,v,verb,"to adopt, to be willing to accept something new, to take up and practice as one’s own.",0.511
ayáw,v,verb,"to have more than enough, to be satiated, to be abundantly fed.",0.0
ayáw,na,noun formative,’ayáwan si pédro sang pagká’un.,0.0
áyhan,con,conjunction,"perhaps, therefore.",0.0
áyu,v,verb,"to become well, to fix something to make it work, to become good.",0.612
áyu,adj,adjective,"fine, good, well.",0.612
áyu’,n,noun,"bargain, discount.",0.202
áyu’,v,verb,"to bargain, to ask for a discount.",0.202
bá’bá,n,noun,mouth.,0.0
babáyi,n,noun,"female, woman.",0.0
bábuy,n,noun,"pig, pork.",0.0
báka,n,noun,"cow, beef.",0.0
baká’,adj,adjective,"bow-legged, walking as if under a strain.",-0.052
baká’,v,verb,to walk under weight.,-0.052
bakág,v,verb,"to get annoyed, to lose one’s patience.",-0.649
bakál,v,verb,"to buy, to purchase.",0.0
bakasyón,n,noun,"vacation, leisure trip.",0.0
bakasyón,v,verb,"to take a vacation, to go on a trip.",0.0
bákbak,v,verb,to strip off.,0.0
bákhaw,n,noun,mangrove.,0.0
bákhu’,v,verb,"to sigh, to moan, to lament.",-0.542
báknal,adj,adjective,"burdensome, onerous, bulky.",-0.421
báknit,v,verb,"to nudge, to pinch, to pluck.",0.0
bákud,adj,adjective,"strong, stiff.",0.511
bákud,v,verb,"to become strong, to stiffen.",0.511
bákul,v,verb,to beat or baffle with blows using a piece of wood or a piece of metal.,0.0
bakúlud,n,noun,"slope, hill.",0.0
bakúna,n,noun,vaccination.,0.0
bakúna,v,verb,to vaccinate.,0.0
bádlu’,n,noun,phlegm.,0.0
bádlung,v,verb,"to point out a fault or mistake, to correct by telling a person.",-0.625
bága,n,noun,"ember, live coal.",0.0
bagáhe,n,noun,"luggage, piece of baggage, cargo.",0.0
bagáng,v,verb,"to heat, to make red hot.",0.0
baganíhan,n,noun,hero.,0.557
bagásu,n,noun,bagasse.,0.0
bagátnan,n,noun,south.,0.0
bágay,n,noun,"thing, idea, notion, effects.",0.0
bágid,v,verb,"to rub together, to strike together.",-0.128
bágid,adj,adjective,"of fruits, unripe, nearly ripe.",-0.128
bágrung,n,noun,"roaring sound, thunderous sound.",0.0
bágrung,v,verb,"to roar, to thunder, to make a deafening sound.",0.0
bágrut,v,verb,to gnash or grind one’s teeth.,0.0
bágsak,n,noun,bedbug.,0.0
bágting,v,verb,"to ring a bell, to toll.",0.0
bágtung,v,verb,to wrap in a bundle especially with a woven cloth.,0.0
bágu,adv,adverb,before.,0.0
bág’u,adj,adjective,"new, recent, unfamiliar, novel.",0.318
bág’u,v,verb,"to make new, to change, to renew.",0.318
bagúl,n,noun,hard shell of the coconut.,-0.103
bágyu,n,noun,"rainstorm, typhoon, hurricane.",0.0
bágyu,v,verb,"to be stormy, to be forceful.",0.0
bahá’,n,noun,flood.,0.0
bahá’,v,verb,to cover with a flood.,0.0
bahála’,v,verb,to be responsible for.,0.318
báhin,n,noun,"part, chapter, share.",0.296
báhin,v,verb,"to divide, to deal with‚ to make small parts of.",0.296
báhit,v,verb,to take something out from the fire.,-0.34
báhu,n,noun,"of music, bass.",0.0
báhu’,n,noun,"smell, odor, stink.",-0.402
báhu’,adj,adjective,"odorous, pungent, acrid smelling, stinking.",-0.402
bahúg,n,noun,food for pigs.,0.0
bahúg,v,verb,"of animals, to feed swine, or any animal; of people, to eat mixed foods simultaneously.",0.0
bahúl,adj,adjective,"coarse, loose or rough texture.",-0.318
bahún,n,noun,sneeze.,0.0
bahún,v,verb,to sneeze.,0.0
bá’id,v,verb,"to sharpen, to rub against a stone so as to sharpen.",0.0
bá’is,v,verb,"to argue, to dispute, to debate.",-0.625
bála,n,noun,bullet.,0.0
balá,pt,particle,question particle to express doubt or uncertainty; tag question particle.,-0.599
balá’an,adj,adjective,"divine, godlike, heavenly.",0.823
balábag,v,verb,"to frustrate, to block, to lay across as of a log.",-0.71
baláka,v,verb,"to feel concerned about something or somebody, to worry.",-0.44
bál’ag,v,verb,"to file, to rub and make smooth with a file.",0.0
balágun,n,noun,"vine, climbing plant.",0.0
balahíbu,n,noun,"of animals, fur; of people, skin hair.",0.0
balának,n,noun,mullet.,0.0
balánse,v,verb,"to balance, to shift, to bring to a state of equipoise or stability.",0.0
balangáw,n,noun,rainbow.,0.0
balás,n,noun,sand.,0.0
balása,v,verb,"to shuffle, to mix up as of cards.",0.0
balasúbas,adj,adjective,"rowdy, rude, good-for-nothing, inconsiderate.",-0.71
balatí’an,n,noun,"disease, illness, feeling, physical condition.",-0.296
balatí’an,v,verb,"to suffer from a disease, to be sick.",-0.296
baláy,n,noun,"house, home, dwelling, building.",0.026
baláy,v,verb,"to build a house, to put up a house or building.",0.026
bálaybálay,n,noun,playhouse.,0.0
bálaybálay,v,verb,to go from one house to another.,0.0
baláybay,n,noun,"verse, recitation, rhyme, poetry.",0.0
balbolá,n,noun,valve.,0.0
bálda,n,noun,"pain, sickness, ache, soreness.",-0.71
bálda,adj,adjective,"paralytic, sickly, low resistance against illness.",-0.71
báldi,n,noun,"bucket, pail.",0.0
baldúsa,n,noun,"concrete pavement, cemented floor.",0.0
bále,v,verb,"to be about, to amount to, to equal to.",0.0
bálhas,n,noun,"perspiration, sweat, condensation.",0.0
bálhas,v,verb,"to perspire, to sweat.",0.0
bálhin,v,verb,"to change, to exchange.",0.0
balí’,n,noun,"fracture, break.",0.0
balí’,adj,adjective,"broken, fractured.",0.0
balí’,v,verb,"to break, to fracture, to rapture.",0.0
balíbad,n,noun,"excuse, reason, refusal.",0.077
balíbad,v,verb,"to find an excuse, to give a reason, to refuse.",0.077
balík,v,verb,"to come back, to return, to retrace one’s steps.",0.0
balikawáng,n,noun,hip.,0.0
balikíd,v,verb,"to turn one’s head to look back, to turn over to the other side in a lying position.",-0.527
balígya’,n,noun,goods for sale.,0.0
balígya’,v,verb,"to sell, to dispose of by sale.",0.0
balískad,v,verb,"to turn upside down, to invert, to turn over.",0.0
balíswa’,v,verb,"to turn over, to turn upside down, to invert.",0.0
balíta’,n,noun,"news, report.",0.0
balíta’,v,verb,"to inform, to tell the news, to report.",0.0
bálu,n,noun,"widow, widower.",0.0
balú’,n,noun,"knot, loop, bow.",0.0
balú’,v,verb,"to entwine, to knot, to tie in a loop or bow.",0.0
balúd,n,noun,ocean wave.,0.0
balúd,adj,adjective,"rough seas, wavy.",0.0
bálun,n,noun,"provisions, a stock of needed materials or supplies collected beforehand.",0.0
bálun,v,verb,"to take provisions along, to bring money or food on a trip.",0.0
