word,pos_symbol,pos_word,meaning
baláy,VB,verb,"to build a house, to put up a house or building."
bálaybálay,NN,noun,playhouse.
bálaybálay,VB,verb,to go from one house to another.
baláybay,NN,noun,"verse, recitation, rhyme, poetry."
balbolá,NN,noun,valve.
bálda,NN,noun,"pain, sickness, ache, soreness."
bálda,JJ,adjective,"paralytic, sickly, low resistance against illness."
báldi,NN,noun,"bucket, pail."
baldúsa,NN,noun,"concrete pavement, cemented floor."
bále,VB,verb,"to be about, to amount to, to equal to."
bálhas,NN,noun,"perspiration, sweat, condensation."
bálhas,VB,verb,"to perspire, to sweat."
bálhin,VB,verb,"to change, to exchange."
balí’,NN,noun,"fracture, break."
balí’,JJ,adjective,"broken, fractured."
balí’,VB,verb,"to break, to fracture, to rapture."
balíbad,NN,noun,"excuse, reason, refusal."
balíbad,VB,verb,"to find an excuse, to give a reason, to refuse."
balík,VB,verb,"to come back, to return, to retrace one’s steps."
balikawáng,NN,noun,hip.
balikíd,VB,verb,"to turn one’s head to look back, to turn over to the other side in a lying position."
balígya’,NN,noun,goods for sale.
balígya’,VB,verb,"to sell, to dispose of by sale."
balískad,VB,verb,"to turn upside down, to invert, to turn over."
balíswa’,VB,verb,"to turn over, to turn upside down, to invert."
balíta’,NN,noun,"news, report."
balíta’,VB,verb,"to inform, to tell the news, to report."
bálu,NN,noun,"widow, widower."
balú’,NN,noun,"knot, loop, bow."
balú’,VB,verb,"to entwine, to knot, to tie in a loop or bow."
balúd,NN,noun,ocean wave.
balúd,JJ,adjective,"rough seas, wavy."
bálun,NN,noun,"provisions, a stock of needed materials or supplies collected beforehand."
bálun,VB,verb,"to take provisions along, to bring money or food on a trip."
balúta,NN,noun,ballot.
bálsa,NN,noun,"raft, ferry, a native raft made of tied bamboo trunks."
bálus,NN,noun,"answer, reply, revenge, reprisal, reward, vendetta."
bálus,VB,verb,"to answer, to reply, to strike back, to take revenge on."
balúskay,VB,verb,"to rummage, to make a thorough search."
balút,NN,noun,"unhatched embryo of duck or chicken, boiled and eaten as a delicacy."
balyéna,NN,noun,whale.
bána,NN,noun,husband.
baná’ag,NN,noun,"dawn, early morning, rays of the sun."
banás,NN,noun,"path, a footpath through uncleared areas."
bánda,NN,noun,"cord or strip of material serving chiefly for decoration, a music band or group of musicians organized for playing together."
bandehádo,NN,noun,platter.
bandéra,NN,noun,flag.
bándo,NN,noun,"announcement, broadcast, declaration."
bándo,VB,verb,"to announce, to make public, to inform the public, to declare."
bánhaw,VB,verb,"to resurrect, to rise from the dead."
baníg,NN,noun,native mat made from strips of palm leaves woven together.
baníhut,JJ,adjective,"stubborn, obstinate, persistent, unyielding."
bansúli’,VB,verb,"to tumble, to be together in a confused mass."
bánta’,NN,noun,"guess, opinion, supposition, estimate."
bánta’,VB,verb,"to guess, to opine, to suppose, to estimate."
bántal,VB,verb,to bundle or wrap together with a piece of cloth or clothing.
bantála’,NN,noun,"announcement, advertisement, broadcast."
bantála’,VB,verb,"to announce or broadcast over the air, to advertise."
bántay,NN,noun,"watchman, watcher, guard, observer."
bántay,VB,verb,"to watch over, to guard, to observe."
bánting,VB,verb,to brace or tie together with a rope.
bántug,JJ,adjective,"renowned, famous, eminent, distinguished, noted."
bántug,VB,verb,"to be rumored, to be considered a hearsay, to become well-known."
bánwa,NN,noun,"town, community, a compactly settled area usually larger than a village but smaller than a city;  citizen."
bányo,NN,noun,bathroom.
bangá’,NN,noun,native earthen jar used as water container.
bángkay,NN,noun,"corpse, dead body."
bangkéta,NN,noun,"sidewalk, concrete pavement."
bangkéte,NN,noun,"banquet, ceremonious meal."
bángko,NN,noun,bank.
bángku’,NN,noun,wooden bench long enough for two or more people to sit on.
bangdánan,NN,noun,"reason, cause, motive for refusal."
bángday,VB,verb,to lean against as for support.
bángga’,VB,verb,"to collide, to bump against."
bángig,VB,verb,"to quarrel, to start a fight."
bangís,JJ,adjective,"brutal, cruel, inhuman, ferocious, fierce."
bangúd,CC,conjunction,"regarding, concerning, relating to, because of, therefore."
bángun,VB,verb,"to arise, to get up from bed, to get up from a lying position."
bapór,NN,noun,"boat, ship."
bará,VB,verb,"to clog, to impede with extraneous matter."
bára,NN,noun,"bar, a long straight piece of wood or metal, crowbar."
baráha,NN,noun,"deck of playing cards, card."
barandílya,NN,noun,"railing made of iron serving as a guard or support, iron guard rail."
baratílyo,NN,noun,bargain sale.
baráto,JJ,adjective,"cheap, inexpensive."
baráto,VB,verb,"to make cheap, to reduce in price."
bárbas,NN,noun,beard.
bárbas,VB,verb,to shave the beard off.
barbéro,NN,noun,barber.
barílis,NN,noun,barrel.
barína,NN,noun,awl.
barína,VB,verb,"to drill, to bore a hole with an awl."
barukán,NN,noun,urinary bladder.
barútu,NN,noun,"canoe, a native canoe made from carved trunks of trees."
báryu,NN,noun,a unit of local government and area division having the status of a village.
bása,VB,verb,to read.
basá’,JJ,adjective,"wet, soaked."
basá’,VB,verb,"to wet, to soak with liquid."
baság,JJ,adjective,"of sound, hoarse, dull, broken."
básbas,VB,verb,"of plants and trees, to cut, to trim."
báskit,NN,noun,basket.
báskug,JJ,adjective,"of sound, loud; of force, strong."
bási’,VB,verb,"may, may be, might."
báso,NN,noun,drinking glass.
básta,CC,conjunction,"because, provided, as long as, if, just, i said so."
básta,RP,particle,"i said so, it has been agreed upon."
bástun,NN,noun,"walking stick, cane."
bástus,JJ,adjective,"rude, uncouth, offensive in manner or action, lacking in social refinement."
básul,VB,verb,"to scold, to chide, to blame, to regret, to repent, to reproach."
basúra,NN,noun,"garbage, trash, litter."
básya,VB,verb,"of water, to pour out with force, to throw out."
báta,NN,noun,"a loose garment usually worn in bed, nightgown."
