Word	Part of speech	meaning	source
sakayanon	noun	mariner , sailor , seaman	https://en.m.wiktionary.org/wiki/sakayanon
dal-ok	noun	blister , pustule	https://en.m.wiktionary.org/wiki/dal-ok
uyang	noun	grandmother	https://en.m.wiktionary.org/wiki/uyang
ebanhelyo	noun	archaic form of ebanghelyo	https://en.m.wiktionary.org/wiki/ebanhelyo
dalaw	noun	visit Synonym: duaw	https://en.m.wiktionary.org/wiki/dalaw
dalaw	verb	to visit	https://en.m.wiktionary.org/wiki/dalaw
sentimyento	noun	sentiment	https://en.m.wiktionary.org/wiki/sentimyento
buhis	noun	( historical ) a tribute	https://en.m.wiktionary.org/wiki/buhis
buhis	noun	duty , revenue , tax	https://en.m.wiktionary.org/wiki/buhis
buhis	noun	toll	https://en.m.wiktionary.org/wiki/buhis
buhis	noun	tribute	https://en.m.wiktionary.org/wiki/buhis
bioleta	noun	violet ( color )	https://en.m.wiktionary.org/wiki/bioleta
hinakay	noun	a charge , fare , or fee	https://en.m.wiktionary.org/wiki/hinakay
hinakay	noun	payment	https://en.m.wiktionary.org/wiki/hinakay
hinakay	noun	rent	https://en.m.wiktionary.org/wiki/hinakay
maayo	adjective	good	https://en.m.wiktionary.org/wiki/maayo
arisgado	adjective	avid , adventurous	https://en.m.wiktionary.org/wiki/arisgado
arisgado	adjective	daring , risky Synonym: makahas	https://en.m.wiktionary.org/wiki/arisgado
gamhon	noun	( botany ) weed	https://en.m.wiktionary.org/wiki/gamhon
busung	adjective	alternative spelling of busong ( “ pregnant ” )	https://en.m.wiktionary.org/wiki/busung
banka	noun	boat	https://en.m.wiktionary.org/wiki/banka
aligi	noun	crab fat	https://en.m.wiktionary.org/wiki/aligi
balasubas	adjective	( money ) broke , short of cash	https://en.m.wiktionary.org/wiki/balasubas
balasubas	adjective	( of manual work ) careless , botched	https://en.m.wiktionary.org/wiki/balasubas
tayuyon	adjective	alternative spelling of tayóyon	https://en.m.wiktionary.org/wiki/tayuyon
abo-abo	adjective	the color of ash , ashen	https://en.m.wiktionary.org/wiki/abo-abo
abo-abo	verb	diminutive of abó	https://en.m.wiktionary.org/wiki/abo-abo
matápan	noun	flat , level , plain	https://en.m.wiktionary.org/wiki/mat%C3%A1pan
bisan	conjunction	although ; even if Synonym: maskin	https://en.m.wiktionary.org/wiki/bisan
bisan	adverb	in spite of Synonym: agad	https://en.m.wiktionary.org/wiki/bisan
ginutlan	noun	interlude , interval	https://en.m.wiktionary.org/wiki/ginutlan
ami	noun	second harvest	https://en.m.wiktionary.org/wiki/ami
ehersisyo	noun	exercise	https://en.m.wiktionary.org/wiki/ehersisyo
halimbawa	noun	example	https://en.m.wiktionary.org/wiki/halimbawa
halimbawa	noun	illustration	https://en.m.wiktionary.org/wiki/halimbawa
halimbawa	noun	instance	https://en.m.wiktionary.org/wiki/halimbawa
malolot	adjective	affectionate , tender	https://en.m.wiktionary.org/wiki/malolot
lamok	noun	mosquito	https://en.m.wiktionary.org/wiki/lamok
bulto	noun	luggage , trunk or box	https://en.m.wiktionary.org/wiki/bulto
bulto	noun	a carved statue	https://en.m.wiktionary.org/wiki/bulto
bibingka	noun	cake (a baked, small rice cake)	https://en.m.wiktionary.org/wiki/bibingka
sungay	noun	horn	https://en.m.wiktionary.org/wiki/sungay
daguob	noun	thunder	https://en.m.wiktionary.org/wiki/daguob
balaba	noun	rattan	https://en.m.wiktionary.org/wiki/balaba
aslang	noun	chin	https://en.m.wiktionary.org/wiki/aslang
batasan	noun	behaviour , character , culture , custom , manners	https://en.m.wiktionary.org/wiki/batasan
amo	noun	monkey	https://en.m.wiktionary.org/wiki/amo
kinaw	verb	glisten , shine , sparkle	https://en.m.wiktionary.org/wiki/kinaw
bitoon	noun	( astronomy ) star	https://en.m.wiktionary.org/wiki/bitoon
probinsya	noun	province	https://en.m.wiktionary.org/wiki/probinsya
dala	verb	to bring , carry	https://en.m.wiktionary.org/wiki/dala
banig	noun	carpet , mat , mattress	https://en.m.wiktionary.org/wiki/banig
bag-ohan	noun	beginner	https://en.m.wiktionary.org/wiki/bag-ohan
lawa	noun	spiderweb	https://en.m.wiktionary.org/wiki/lawa
agdayan	adjective	lazy	https://en.m.wiktionary.org/wiki/agdayan
agdayan	adjective	dull , slow , stupid	https://en.m.wiktionary.org/wiki/agdayan
gata	noun	coconut milk	https://en.m.wiktionary.org/wiki/gata
kasulya	noun	( Christianity ) chasuble	https://en.m.wiktionary.org/wiki/kasulya
abri	verb	to open (as a window), unlock (as a gate), or turn on (as a stove)	https://en.m.wiktionary.org/wiki/abri
abri	verb	to begin , commence Synonyms: sugod , umpisa	https://en.m.wiktionary.org/wiki/abri
dagta	noun	sap	https://en.m.wiktionary.org/wiki/dagta
husay	noun	comb	https://en.m.wiktionary.org/wiki/husay
kasla	verb	imperative passive of kasál	https://en.m.wiktionary.org/wiki/kasla
yawa	noun	devil ; evil spirit ; demon	https://en.m.wiktionary.org/wiki/yawa
yawa	interjection	( vulgar ) term of abuse	https://en.m.wiktionary.org/wiki/yawa
galingan	noun	grinder	https://en.m.wiktionary.org/wiki/galingan
kapatid	noun	sibling	https://en.m.wiktionary.org/wiki/kapatid
amog	adjective	oversensitive , sensitive , touchy Amog nga bata. A very touchy child.	https://en.m.wiktionary.org/wiki/amog
dimatarung	adjective	dishonest	https://en.m.wiktionary.org/wiki/dimatarung
dimatarung	adjective	unfair , unjust , wicked , wrong	https://en.m.wiktionary.org/wiki/dimatarung
dimatarung	adjective	injurious	https://en.m.wiktionary.org/wiki/dimatarung
banwa	noun	town ; city ; municipality ; state ; commonwealth	https://en.m.wiktionary.org/wiki/banwa
banwa	noun	citizenry ; inhabitant	https://en.m.wiktionary.org/wiki/banwa
hubog	adjective	drunk ; intoxicated Synonym: balong	https://en.m.wiktionary.org/wiki/hubog
abong	adjective	windward	https://en.m.wiktionary.org/wiki/abong
hugut	adjective	tight	https://en.m.wiktionary.org/wiki/hugut
kaladlawan	noun	comic	https://en.m.wiktionary.org/wiki/kaladlawan
bugto	verb	break , disconnect	https://en.m.wiktionary.org/wiki/bugto
dioktok	noun	seashells	https://en.m.wiktionary.org/wiki/dioktok
bagnas	adjective	unripe	https://en.m.wiktionary.org/wiki/bagnas
bugas	noun	milled rice , white rice	https://en.m.wiktionary.org/wiki/bugas
bugas	noun	pimple	https://en.m.wiktionary.org/wiki/bugas
bugas	verb	to hull rice	https://en.m.wiktionary.org/wiki/bugas
bati-bati	noun	diminutive of batî ; gossip , hearsay , rumor	https://en.m.wiktionary.org/wiki/bati-bati
hampang	noun	game	https://en.m.wiktionary.org/wiki/hampang
latayan	noun	a narrow bridge often with no handrail	https://en.m.wiktionary.org/wiki/latayan
latayan	noun	gangplank	https://en.m.wiktionary.org/wiki/latayan
kuning	noun	cat	https://en.m.wiktionary.org/wiki/kuning
mabulakon	adjective	flowery , to smell of flowers	https://en.m.wiktionary.org/wiki/mabulakon
mabulakon	adjective	full of flowers	https://en.m.wiktionary.org/wiki/mabulakon
bolkan	noun	volcano	https://en.m.wiktionary.org/wiki/bolkan
alhebra	noun	algebra	https://en.m.wiktionary.org/wiki/alhebra
dulumugan	verb	swarm	https://en.m.wiktionary.org/wiki/dulumugan
ayo	noun	a pet name	https://en.m.wiktionary.org/wiki/ayo
ayo	noun	bargain , discount	https://en.m.wiktionary.org/wiki/ayo
ayo	verb	to ask or request	https://en.m.wiktionary.org/wiki/ayo
tugot	verb	to allow	https://en.m.wiktionary.org/wiki/tugot
manong	noun	eldest brother	https://en.m.wiktionary.org/wiki/manong
manong	noun	term of address for the eldest brother : big bro	https://en.m.wiktionary.org/wiki/manong
uswag	verb	to step back ; to make room ; to give way	https://en.m.wiktionary.org/wiki/uswag
uswag	verb	to postpone	https://en.m.wiktionary.org/wiki/uswag
uswag	verb	to prosper ; to advance ; to progress	https://en.m.wiktionary.org/wiki/uswag
alabuton	adjective	cranky , eccentric	https://en.m.wiktionary.org/wiki/alabuton
bisyo	noun	bad , wicked , naughty , disobedient	https://en.m.wiktionary.org/wiki/bisyo
bisyo	verb	to refuse or be disobedient	https://en.m.wiktionary.org/wiki/bisyo
adtang	noun	the forehead	https://en.m.wiktionary.org/wiki/adtang
abay-abay	verb	diminutive of abáy	https://en.m.wiktionary.org/wiki/abay-abay
abay-abay	verb	frequentative of abáy	https://en.m.wiktionary.org/wiki/abay-abay
abay-abay	verb	to interfere or meddle	https://en.m.wiktionary.org/wiki/abay-abay
buyog	noun	bee ( insect )	https://en.m.wiktionary.org/wiki/buyog
giwaos	noun	alternative spelling of giwá-os	https://en.m.wiktionary.org/wiki/giwaos
dangat	verb	to acquire , gain	https://en.m.wiktionary.org/wiki/dangat
dangat	verb	to obtain , procure , secure	https://en.m.wiktionary.org/wiki/dangat
dangat	verb	to win	https://en.m.wiktionary.org/wiki/dangat
bitok	noun	pinworm	https://en.m.wiktionary.org/wiki/bitok
balaanon	adjective	( religion ) saintly , blessed , holy	https://en.m.wiktionary.org/wiki/balaanon
balaanon	adjective	happy , beatific	https://en.m.wiktionary.org/wiki/balaanon
bana	noun	husband	https://en.m.wiktionary.org/wiki/bana
bana	noun	opinion , guess , thought	https://en.m.wiktionary.org/wiki/bana
dalhon	verb	bring	https://en.m.wiktionary.org/wiki/dalhon
uyon	verb	to agree	https://en.m.wiktionary.org/wiki/uyon
alan	adjective	rancid	https://en.m.wiktionary.org/wiki/alan
birhin	adjective	virgin	https://en.m.wiktionary.org/wiki/birhin
balung	adjective	alternative spelling of balong ( “ drunk; intoxicated ” )	https://en.m.wiktionary.org/wiki/balung
bulung	noun	drug , medicine	https://en.m.wiktionary.org/wiki/bulung
bulung	verb	spin , rotate	https://en.m.wiktionary.org/wiki/bulung
tuô	adjective	right ( as in a direction )	https://en.m.wiktionary.org/wiki/tu%C3%B4
baga	noun	charcoal , cinder , coal , light	https://en.m.wiktionary.org/wiki/baga
abung	verb	to intercept ; to stop ; to catch	https://en.m.wiktionary.org/wiki/abung
busug	adjective	satiated , satisfied	https://en.m.wiktionary.org/wiki/busug
busug	adjective	excruciating or painful	https://en.m.wiktionary.org/wiki/busug
kutud	noun	boundary , line	https://en.m.wiktionary.org/wiki/kutud
kutud	noun	ruler	https://en.m.wiktionary.org/wiki/kutud
galing	verb	grind , mill	https://en.m.wiktionary.org/wiki/galing
aro	noun	leprosy	https://en.m.wiktionary.org/wiki/aro
dabudabu	noun	shower	https://en.m.wiktionary.org/wiki/dabudabu
angso	noun	smell of urine Synonym: pangsot	https://en.m.wiktionary.org/wiki/angso
empeine	noun	herpes	https://en.m.wiktionary.org/wiki/empeine
banag-banag	noun	dawn , daybreak	https://en.m.wiktionary.org/wiki/banag-banag
banag-banag	noun	morning (obsolete)	https://en.m.wiktionary.org/wiki/banag-banag
dughan	noun	( anatomy ) chest ; bosom ; breast ; thorax	https://en.m.wiktionary.org/wiki/dughan
duha	verb	to duplicate	https://en.m.wiktionary.org/wiki/duha
dangog	noun	scurf	https://en.m.wiktionary.org/wiki/dangog
eskoba	noun	brush	https://en.m.wiktionary.org/wiki/eskoba
binudngan	noun	a handspun cloth , fabric , or textile	https://en.m.wiktionary.org/wiki/binudngan
grasya	noun	grace Synonym: bugay Antonyms: desgrasya , huya	https://en.m.wiktionary.org/wiki/grasya
dulukdokan	noun	grinder	https://en.m.wiktionary.org/wiki/dulukdokan
kagab-i	noun	last night	https://en.m.wiktionary.org/wiki/kagab-i
binulan	adjective	every month , monthly	https://en.m.wiktionary.org/wiki/binulan
guyod	verb	to drag ; to haul ; to pull	https://en.m.wiktionary.org/wiki/guyod
kahas	noun	daringness	https://en.m.wiktionary.org/wiki/kahas
kahas	noun	violence Synonym: bangis	https://en.m.wiktionary.org/wiki/kahas
asupre	noun	sulphur	https://en.m.wiktionary.org/wiki/asupre
adudulay	noun	a large earthworm	https://en.m.wiktionary.org/wiki/adudulay
hawak	noun	( anatomy ) waist ( body part ) Synonyms: ubit , ulubitan	https://en.m.wiktionary.org/wiki/hawak
aninaw	verb	to imitate , to model Synonyms: ilog , ehemplo , huaran , espeho , gia , huluaran	https://en.m.wiktionary.org/wiki/aninaw
atubang	verb	to confront ; to face	https://en.m.wiktionary.org/wiki/atubang
arnibal	noun	syrup	https://en.m.wiktionary.org/wiki/arnibal
arnibal	noun	caramel , coconut caramel ( latík )	https://en.m.wiktionary.org/wiki/arnibal
arnibal	noun	molasses	https://en.m.wiktionary.org/wiki/arnibal
arnibal	noun	sweetener	https://en.m.wiktionary.org/wiki/arnibal
dagumak	verb	to wear out from frequent use	https://en.m.wiktionary.org/wiki/dagumak
abi	adverb	for instance	https://en.m.wiktionary.org/wiki/abi
abi	verb	imagine	https://en.m.wiktionary.org/wiki/abi
abi	verb	think	https://en.m.wiktionary.org/wiki/abi
abi	verb	say aloud	https://en.m.wiktionary.org/wiki/abi
delana	adjective	woolen	https://en.m.wiktionary.org/wiki/delana
alang-alang	adjective	immature , inappropriate , inconvenient , unsuitable	https://en.m.wiktionary.org/wiki/alang-alang
laum	verb	to hope	https://en.m.wiktionary.org/wiki/laum
aihado	noun	godson	https://en.m.wiktionary.org/wiki/aihado
paabay	verb	causative of abáy	https://en.m.wiktionary.org/wiki/paabay
kalabasa	noun	squash	https://en.m.wiktionary.org/wiki/kalabasa
budiong	noun	trumpet ; horn	https://en.m.wiktionary.org/wiki/budiong
aihada	noun	goddaughter	https://en.m.wiktionary.org/wiki/aihada
sumalayhaw	noun	cockerel ; young cock	https://en.m.wiktionary.org/wiki/sumalayhaw
halang	adjective	spicy , pungent , biting ( of taste ) Synonym: kahang	https://en.m.wiktionary.org/wiki/halang
abiso	noun	notice , information	https://en.m.wiktionary.org/wiki/abiso
abiso	verb	notify , inform	https://en.m.wiktionary.org/wiki/abiso
sapatos	noun	shoe	https://en.m.wiktionary.org/wiki/sapatos
bohawi	noun	cyclone , whirlwind	https://en.m.wiktionary.org/wiki/bohawi
bais	verb	sharpen	https://en.m.wiktionary.org/wiki/bais
sirip	noun	sheriff	https://en.m.wiktionary.org/wiki/sirip
premyo	noun	prize Synonym: padya	https://en.m.wiktionary.org/wiki/premyo
bukadkad	verb	to bloom , blossom , or flower	https://en.m.wiktionary.org/wiki/bukadkad
dutang panublion	noun	patrimony	https://en.m.wiktionary.org/wiki/dutang%20panublion
antiyado	adjective	buff ( color )	https://en.m.wiktionary.org/wiki/antiyado
bara	noun	crowbar	https://en.m.wiktionary.org/wiki/bara
bara	noun	yardstick	https://en.m.wiktionary.org/wiki/bara
alat	noun	basket	https://en.m.wiktionary.org/wiki/alat
kabayo	noun	horse	https://en.m.wiktionary.org/wiki/kabayo
dagum	noun	needle	https://en.m.wiktionary.org/wiki/dagum
alaypan	noun	asylum , nursery	https://en.m.wiktionary.org/wiki/alaypan
bitas	adjective	injured	https://en.m.wiktionary.org/wiki/bitas
bitas	noun	fissure , mutilation	https://en.m.wiktionary.org/wiki/bitas
bitas	verb	break , rend , sever , split , tear	https://en.m.wiktionary.org/wiki/bitas
bandeha	noun	platter , plate	https://en.m.wiktionary.org/wiki/bandeha
utud	noun	something cut off or broken off	https://en.m.wiktionary.org/wiki/utud
utud	noun	sibling	https://en.m.wiktionary.org/wiki/utud
utud	adjective	severed ; cut off Synonym: putol	https://en.m.wiktionary.org/wiki/utud
utud	verb	to cut off ; to sever	https://en.m.wiktionary.org/wiki/utud
utud	verb	to interrupt something ( such as a conversation )	https://en.m.wiktionary.org/wiki/utud
utud	verb	to make someone one's sibling	https://en.m.wiktionary.org/wiki/utud
habol	noun	blanket	https://en.m.wiktionary.org/wiki/habol
wasay	noun	axe	https://en.m.wiktionary.org/wiki/wasay
diruskas	noun	screw	https://en.m.wiktionary.org/wiki/diruskas
hambadan	verb	scorn	https://en.m.wiktionary.org/wiki/hambadan
hagup	verb	to be tame	https://en.m.wiktionary.org/wiki/hagup
dalimuos	noun	( of wind ) gust	https://en.m.wiktionary.org/wiki/dalimuos
dalimuos	noun	a fit of anger or passion	https://en.m.wiktionary.org/wiki/dalimuos
patani	noun	lima beans	https://en.m.wiktionary.org/wiki/patani
pildoras	noun	pill	https://en.m.wiktionary.org/wiki/pildoras
dampig	verb	aid , help , support	https://en.m.wiktionary.org/wiki/dampig
maambas	adjective	expensive or wasteful	https://en.m.wiktionary.org/wiki/maambas
eskuwela	noun	school Synonym: buluthoan	https://en.m.wiktionary.org/wiki/eskuwela
eskuwela	verb	to go to school ; to attend school	https://en.m.wiktionary.org/wiki/eskuwela
bahawbahaw	noun	ant	https://en.m.wiktionary.org/wiki/bahawbahaw
ginggon	noun	gingham	https://en.m.wiktionary.org/wiki/ginggon
doble	noun	double	https://en.m.wiktionary.org/wiki/doble
tawo	noun	a man ; a person ; a human	https://en.m.wiktionary.org/wiki/tawo
saramaylo	adjective	confused	https://en.m.wiktionary.org/wiki/saramaylo
saramaylo	adjective	awkward , clumsy , dull , stupid	https://en.m.wiktionary.org/wiki/saramaylo
guyum	noun	ant , ( various , species )	https://en.m.wiktionary.org/wiki/guyum
balanak	noun	( a kind of fish ) mullet	https://en.m.wiktionary.org/wiki/balanak
linog	noun	earthquake	https://en.m.wiktionary.org/wiki/linog
liog	noun	( anatomy ) neck	https://en.m.wiktionary.org/wiki/liog
duko	noun	respect	https://en.m.wiktionary.org/wiki/duko
duko	verb	bow	https://en.m.wiktionary.org/wiki/duko
apa	adjective	dumb , mute , tongue-tied	https://en.m.wiktionary.org/wiki/apa
sagad	noun	specialist	https://en.m.wiktionary.org/wiki/sagad
bayad	noun	charge ; payment ; fee ; toll	https://en.m.wiktionary.org/wiki/bayad
mahubog	verb	to get drunk ; to intoxicate Synonym: mabalong	https://en.m.wiktionary.org/wiki/mahubog
mapinatopatoon	adjective	creative , imaginative , inventive	https://en.m.wiktionary.org/wiki/mapinatopatoon
tililawan	noun	test , trial	https://en.m.wiktionary.org/wiki/tililawan
buksan	verb	open	https://en.m.wiktionary.org/wiki/buksan
balita	noun	information , news	https://en.m.wiktionary.org/wiki/balita
balita	verb	to inform , proclaim	https://en.m.wiktionary.org/wiki/balita
amat-amat	adverb	gradually , slowly	https://en.m.wiktionary.org/wiki/amat-amat
kawing	noun	copulation	https://en.m.wiktionary.org/wiki/kawing
kawing	verb	to copulate	https://en.m.wiktionary.org/wiki/kawing
bahaw	adjective	( of food ) cold	https://en.m.wiktionary.org/wiki/bahaw
bahaw	noun	cold rice	https://en.m.wiktionary.org/wiki/bahaw
buho	noun	crevice , hole , opening , perforation , pit , vent	https://en.m.wiktionary.org/wiki/buho
tuko	noun	gecko	https://en.m.wiktionary.org/wiki/tuko
dulang	noun	dig , excavate , mine	https://en.m.wiktionary.org/wiki/dulang
abogado	noun	lawyer	https://en.m.wiktionary.org/wiki/abogado
abuelo	noun	grandfather	https://en.m.wiktionary.org/wiki/abuelo
tipolon	adjective	round , spherical	https://en.m.wiktionary.org/wiki/tipolon
hingap-us	verb	to commit suicide by hanging	https://en.m.wiktionary.org/wiki/hingap-us
gawgaw	noun	starch	https://en.m.wiktionary.org/wiki/gawgaw
binuhatan	noun	work , deed	https://en.m.wiktionary.org/wiki/binuhatan
dagyang	verb	enjoy oneself , frolic	https://en.m.wiktionary.org/wiki/dagyang
asero	noun	steel	https://en.m.wiktionary.org/wiki/asero
kamatuoran	noun	truth ; veracity	https://en.m.wiktionary.org/wiki/kamatuoran
langgaw	noun	vinegar	https://en.m.wiktionary.org/wiki/langgaw
anhel	noun	archaic form of anghel	https://en.m.wiktionary.org/wiki/anhel
anggid-anggid	adjective	diminutive of anggid : nearly alike, similar	https://en.m.wiktionary.org/wiki/anggid-anggid
bigote	noun	moustache	https://en.m.wiktionary.org/wiki/bigote
kalikog	verb	to clean ; to probe	https://en.m.wiktionary.org/wiki/kalikog
kabulig	noun	assistant , helper	https://en.m.wiktionary.org/wiki/kabulig
lakum	verb	to deceive ; to cheat ; to swindle Synonym: lakon	https://en.m.wiktionary.org/wiki/lakum
hinali	adjective	sudden	https://en.m.wiktionary.org/wiki/hinali
dugus	adjective	the best part of a thing	https://en.m.wiktionary.org/wiki/dugus
dugus	noun	honey	https://en.m.wiktionary.org/wiki/dugus
dugus	verb	to gather fruit	https://en.m.wiktionary.org/wiki/dugus
hinganiban	noun	weapon Synonym: armas	https://en.m.wiktionary.org/wiki/hinganiban
dugwak	noun	crane , swan	https://en.m.wiktionary.org/wiki/dugwak
lumilaw	verb	doze	https://en.m.wiktionary.org/wiki/lumilaw
hilanat	noun	( pathology ) cold Synonym: sip-on	https://en.m.wiktionary.org/wiki/hilanat
hilanat	noun	fever Synonym: kalentura	https://en.m.wiktionary.org/wiki/hilanat
daan	adjective	old	https://en.m.wiktionary.org/wiki/daan
daan	adjective	used ; worn-out	https://en.m.wiktionary.org/wiki/daan
daan	adverb	beforehand	https://en.m.wiktionary.org/wiki/daan
daan	adverb	first of all	https://en.m.wiktionary.org/wiki/daan
daan	adverb	right away	https://en.m.wiktionary.org/wiki/daan
amba sang pispis	noun	warbler	https://en.m.wiktionary.org/wiki/amba%20sang%20pispis
buto	noun	( anatomy ) penis	https://en.m.wiktionary.org/wiki/buto
salbabida	noun	life preserver ; life jacket ; life buoy	https://en.m.wiktionary.org/wiki/salbabida
amihan	noun	north wind	https://en.m.wiktionary.org/wiki/amihan
hagumhum	verb	to hum or coo	https://en.m.wiktionary.org/wiki/hagumhum
hagumhum	verb	to rumble or boom	https://en.m.wiktionary.org/wiki/hagumhum
sun-adan	noun	fireplace	https://en.m.wiktionary.org/wiki/sun-adan
adorno	noun	adornment , decoration , embellishment , ornamentation	https://en.m.wiktionary.org/wiki/adorno
adorno	verb	to adorn , decorate , embellish , or ornament	https://en.m.wiktionary.org/wiki/adorno
tornilyo	noun	a screw , specifically propeller screw	https://en.m.wiktionary.org/wiki/tornilyo
gana	noun	appetite , desire	https://en.m.wiktionary.org/wiki/gana
datilis	noun	date palm	https://en.m.wiktionary.org/wiki/datilis
diin	adverb	where	https://en.m.wiktionary.org/wiki/diin
diin	adverb	there	https://en.m.wiktionary.org/wiki/diin
baas	verb	diminish , lessen	https://en.m.wiktionary.org/wiki/baas
awtopsiya	noun	autopsy	https://en.m.wiktionary.org/wiki/awtopsiya
halokhok	verb	grunt	https://en.m.wiktionary.org/wiki/halokhok
guya	noun	( anatomy ) face	https://en.m.wiktionary.org/wiki/guya
salaming	noun	mirror Synonym: espeho	https://en.m.wiktionary.org/wiki/salaming
agtang	noun	( anatomy ) forehead	https://en.m.wiktionary.org/wiki/agtang
agogoling	noun	bumblebee	https://en.m.wiktionary.org/wiki/agogoling
batongmaidlak	noun	diamond	https://en.m.wiktionary.org/wiki/batongmaidlak
baboy	noun	pig ( mammal of genus Sus ) ; swine	https://en.m.wiktionary.org/wiki/baboy
hinalabuab	noun	offspring	https://en.m.wiktionary.org/wiki/hinalabuab
dipaha	adjective	made of straw	https://en.m.wiktionary.org/wiki/dipaha
dipaha	noun	straw	https://en.m.wiktionary.org/wiki/dipaha
hiwit	noun	a bewitchment , charm , or spell	https://en.m.wiktionary.org/wiki/hiwit
tiki	noun	common house gecko	https://en.m.wiktionary.org/wiki/tiki
baskug	noun	loudness ( of noise ) Synonym: gansal	https://en.m.wiktionary.org/wiki/baskug
baskug	noun	strength Synonyms: bakud , kusug	https://en.m.wiktionary.org/wiki/baskug
maghatag sing kinahanglan	verb	supply	https://en.m.wiktionary.org/wiki/maghatag%20sing%20kinahanglan
dira	adverb	there , yonder	https://en.m.wiktionary.org/wiki/dira
paglaum	noun	hope	https://en.m.wiktionary.org/wiki/paglaum
bangko	noun	bench	https://en.m.wiktionary.org/wiki/bangko
bangko	noun	bank	https://en.m.wiktionary.org/wiki/bangko
gihapon	adverb	always , as , always , usually	https://en.m.wiktionary.org/wiki/gihapon
manok	noun	chicken	https://en.m.wiktionary.org/wiki/manok
matataas	adjective	high , exalted Synonym: matáas	https://en.m.wiktionary.org/wiki/matataas
sunlog	noun	tease	https://en.m.wiktionary.org/wiki/sunlog
bibig	noun	( anatomy ) lip	https://en.m.wiktionary.org/wiki/bibig
bibig	noun	edge , rim ( of a glass )	https://en.m.wiktionary.org/wiki/bibig
