word,pos_symbol,pos_word,meaning
hátag,v,verb,"to give, to make a gift, to bestow, to assign, to award."
hatúkhatúk,v,verb,"to prick, to hurt, to chop, to make several cuts with a sharp instrument."
hatúd,v,verb,"to deliver personally, to carry a message."
háwa’,v,verb,"to make way, to leave an open space, to open a passage."
háwak,n,noun,waistline.
háwan,v,verb,"to clear, to clean from obstruction, to clear a crowded area."
háw’as,v,verb,"to take out of, to remove from inside, to deliver from a container."
hawáthawát,v,verb,"to crave badly, to eat little by little."
háwid,v,verb,"to retain, to stay, to keep possession of."
háya’,v,verb,to lay out a corpse.
háyag,adj,adjective,"bright, shiny."
háyag,v,verb,to become bright.
hayáhay,n,noun,"flag, banner."
hayángháyang,v,verb,to lie down lazily.
hayát,adj,adjective,"slender, thin, lean."
hayáw,v,verb,"to make as if to strike, to threaten to strike, to raise the hand as if to strike."
háyhay,v,verb,"to sigh, to moan, to utter a plaint or wail."
háylu,v,verb,"to convince, to induce."
hayú’,n,noun,"pet name, nickname."
háyup,n,noun,animal.
héfe,n,noun,chief.
henerál,n,noun,"general, army officer with the rank of general."
heneró,n,noun,"cloth, bale of cloth."
heringílya,n,noun,syringe.
hibalú,v,verb,"to know, to be aware of, to understand, to comprehend."
hibí’,v,verb,"to cry, to weep, to whimper."
hibubún’ut,v,verb,"to sob, sigh convulsively."
híkap,v,verb,"to touch with the hand, to feel, to handle."
híkaw,n,noun,"envy, jealousy."
híkaw,v,verb,"to envy, to be jealous of."
híkay,v,verb,"to find fault, to ridicule, to despise."
híkut,n,noun,cooked food.
híkut,v,verb,"to get ready, to bring on, to cook, to prepare in the kitchen."
hidá’it,n,noun,"peace, tranquility."
hidá’it,adj,adjective,"peaceful, tranquil."
hídlaw,n,noun,"longing, homesickness."
hídlaw,v,verb,"to long for, to yearn for, to be homesick, to wish to see personally."
higád,adv,adverb,"alongside, beside, on the edge."
higánte,n,noun,giant.
higayún,pt,particle,"in the event that, in the circumstance that."
hígku’,n,noun,"rubbish, dirt, dust, blemish, blot."
hígku’,adj,adjective,"dirty, dusty."
hígku’,v,verb,"to be dirty, to soil, to defile, to litter."
hígda’,v,verb,to lie down.
higúgma,n,noun,"love, affection."
higúgma,v,verb,"to love, to have affection for, to adore."
hígup,v,verb,"to sip, to suck up, to slurp, as a soup."
higút,n,noun,"rope, string."
higút,v,verb,"to bind, to tie, to secure, to fasten with a string or a rope."
hilabút,v,verb,"to interfere, to meddle."
hílak,v,verb,"to cherish, to hesitate to spend or give away because of sentimental or monetary value, to have high regard for."
hilamún,n,noun,"grass, weed."
hilám’us,v,verb,to wash the face.
hilánat,n,noun,fever.
hilánat,v,verb,"to have a fever, to be feverish."
hílap,v,verb,to cut into thin slices with an extremely sharp knife.
hilapít,adv,adverb,"near, in the vicinity of."
hiláw,adj,adjective,"raw, unripe, fresh."
hiláy,v,verb,"to lean, to incline, to slant."
hilayú’,adv,adverb,"far away, remote."
hílu,n,noun,thread.
hilú’,n,noun,poison.
hilú’,v,verb,"to poison, to give poison to."
híl’ub,v,verb,"to complete, to finish, to terminate planting or tilling the soil."
híl’um,v,verb,"to guess, to sense, to suspect."
hílut,n,noun,midwife.
hílut,v,verb,"to massage, to rub."
hílway,adj,adjective,"free, independent, safe."
hílway,n,noun,"freedom, independence."
himáya’,n,noun,"happiness, glory, bliss."
hímbis,n,noun,fish scales.
hímpit,adj,adjective,"perfect, faultless."
hímu,v,verb,"to make, to do, to perform."
himúd’us,n,noun,effort.
himúd’us,v,verb,"to exert oneself, to make great effort."
himúlat,v,verb,"to strive to obtain, to be earnest."
himúlbul,v,verb,to pluck clean of feathers or fur.
himulús,v,verb,"to be of use, to make serviceable, to take advantage of."
himúnung,adj,adjective,"quiet, silent."
himúnung,v,verb,"to become quiet, to become noiseless."
