Word,Part of speech,affixation,meaning,example,English example,source
bugal,adjective,,arrogant,,,https://en.wiktionary.org/wiki/bugal
buggaitan,adjective,,"prominent, famous, outstanding, excelling, excellent, surpassing others in skill, the best of its kind",,,https://en.wiktionary.org/wiki/buggaitan
bugnaw,adjective,,"cold, cool",,,https://en.wiktionary.org/wiki/bugnaw
buhaha,adjective,,"heedless, lavish, prodigal, wasteful",,,https://en.wiktionary.org/wiki/buhaha
buhat,adjective,,"raise; lift; act of picking up something heavy
Synonyms: alsa, tuon",,,https://en.wiktionary.org/wiki/buhat
buhi,adjective,,"to live
Nabuhi si Hesukristo sa Dominggo sa PagkabanhawJesus rose again on Easter Sunday",,,https://en.wiktionary.org/wiki/buhi
bukas,adjective,,plural of buka,,,https://en.wiktionary.org/wiki/bukas
bukidnon,adjective,,rural,,,https://en.wiktionary.org/wiki/bukidnon
bulag,adjective,,to separate; to cause (things or people) to be separate,,,https://en.wiktionary.org/wiki/bulag
bulahan,adjective,,lucky; fortunate; blessed,,,https://en.wiktionary.org/wiki/bulahan
bunayag makig-atubang,adjective,,genial,,,https://en.wiktionary.org/wiki/bunayag_makig-atubang
bunayag sing kabubut-on,adjective,,cordial,,,https://en.wiktionary.org/wiki/bunayag_sing_kabubut-on
bundul,adjective,,"slow, dull, deliberate in action",,,https://en.wiktionary.org/wiki/bundul
bungul,adjective,,stupid,,,https://en.wiktionary.org/wiki/bungul
bus-og,adjective,,"pure, unadulterated,",,,https://en.wiktionary.org/wiki/bus-og
busgon,adjective,,satiated,,,https://en.wiktionary.org/wiki/busgon
busong,adjective,,"pregnant
Synonym: mabdos",,,https://en.wiktionary.org/wiki/busong
busug,adjective,,"satiated, satisfied",,,https://en.wiktionary.org/wiki/busug
busung,adjective,,alternative spelling of busong (“pregnant”),,,https://en.wiktionary.org/wiki/busung
buta,adjective,,Alternative form of boteh.,,,https://en.wiktionary.org/wiki/buta
butad,adjective,,to pull,,,https://en.wiktionary.org/wiki/butad
butok-butok,adjective,,diligent,,,https://en.wiktionary.org/wiki/butok-butok
