word,POS symbol,POS word,placement,affix,meaning,Example,English Sample,Page
kaldéro,n,noun,,,kettle made of wrought iron.,,,81
kalendáryo,n,noun,,,calendar.,,,81
kalésa,n,noun,,,"buggy, cart pulled by a horse.",,,81
káli,v,verb,,"/mag-, -un/",to dig up.,Ginkáli ku ang kamúti.,I dug up some sweet potatoes.,81
kalibútan,n,noun,,,"universe, earth, world.",,,81
kalimutáw,n,noun,,,eyeball.,,,81
kalís,v,verb,,"/mag-, -un/",to skim the top so as to make even.,Ginkalís sang tindéra ang bugás sa gantángan.,The salesgirl skimmed the rice in the container.,81
kalít,v,verb,,"/mag-, -un/",to take the opportunity.,Nagkalít si Manuél nga mamásyar kay walá’ pa trabáho.,"Manuel took a stroll, meanwhile he had no work to do.",81
kálu’,n,noun,,,"hat, cap.",,,81
ka-…-lu-…,na,noun formative,,,noun formative affix designating abstract plurality of state of being.,Kahulúya’ sang natabú’.,What happened was really a shame.,81
kálut,v,verb,,"/mag-, -un/","to scratch gently, to ease an itchy feeling.",Ginkálut ku ang ákun úlu.,I scratched my head.,81
kalú’uy,n,noun,,,"mercy, pity, clemency.",,,81
kálye,n,noun,,,"street, road, avenue.",,54,81
káma,n,noun,,,bed.,,,82
kamálig,n,noun,,,barn.,,,82
kamánsi,n,noun,,,breadfruit.,,,82
kámang,v,verb,,"/mag-, -un/","to creep, to crawl, to walk on all fours.",,,82
kamángyan,n,noun,,,incense.,,,82
kamaróte,n,noun,,,"of a ship, cabin.",,,82
kamásun,n,noun,,,claw.,,,82
kamatáyan,n,noun,,,death.,,,82
kamátis,n,noun,,,tomato.,,,82
kámbang,adj,adjective,,,"spotted, mixed, of two shades or colors.",,,82
kámbyu,v,verb,,"/mag-, -un/","to exchange, to barter, to swap.",,,82
kamí,pr,pronoun,,,we (exclusive first person plural nominal pronoun).,,,82
kamisadéntro,n,noun,,,men’s shirt.,,,82
kamiséta,n,noun,,,undershirt.,,,82
kamisún,n,noun,,,"ladies’ full slip, chemise.",,,82
kámlut,v,verb,,"/mag-, -un/","to paw, to touch.",Ginkamlut ku ang isda.,I touched the fish.,82
kampanáryu,n,noun,,,belfry.,,,82
kampánya,n,noun,,,campaign.,,,82
,v,verb,,"/mag-, -un/",to campaign.,Nagkampánya ang kandidáto.,The candidate campaigned. 55,82
kámpi,v,verb,,"/mag-, -an/","to side with, to be an ally to.",Nagkámpi ang América sa South Vietnám.,,83
kámpo,n,noun,,,camp.,,,83
kampyón,n,noun,,,champion.,,,83
kamú,pr,pronoun,,,you (plural second person nominal pronoun).,,,83
kamumú’u,n,noun,,,claw.,,,83
kamústa,id,idiom,,,how are you.,,,83
,v,verb,,"/magpang-, -un/","to greet, to shake hands with, to inquire of one’s health.",Ginkamústa ku si Senadór Aquíno.,I shook hands with Senator Aquino.,83
kamút,n,noun,,,hand.,,,83
kamúti,n,noun,,,sweet potato.,,,83
kamútingkáhuy,n,noun,,,cassava.,,,83
kanál,n,noun,,,"canal, ditch, drainage.",,,83
kánay,v,verb,,/mag-/,"to subside as of winds and waves, to become less intense, to abate.",Nagkánay na ang hángin.,The winds abated already.,83
kandádu,n,noun,,,padlock.,,,83
,v,verb,,"/mag-, -an/",to lock with a padlock.,Nagkandádu pa sya sang bodéga.,He went to lock the warehouse.,83
kánday,pt,particle,plural,,personal name marker.,Kánday Cármen kag José silá.,They are Carmen and Jose.; plural pre-possessive personal name marker. Kánday 56,83
kandidáto,n,noun,,,candidate.,,,84
kandíla’,n,noun,,,candle.,,,84
kánding,n,noun,,,goat.,,,84
kándus,v,verb,,"/mag-, -un/","to scoop out, to serve on a dish from a pot.",Nagkándus akú sang adóbo sa kaldéro.,I scooped out some adobo from the pot.,84
kánta,n,noun,,,"song, tune.",,,84
,v,verb,,"/mag-, -un/","to sing, to chant, to warble.",,,84
kantéro,n,noun,,,mason.,,,84
kantidád,n,noun,,,"quantity, amount.",,,84
kánto,n,noun,,,street corner.,,,84
kanú’,n,noun,,,American.,,,84
kán’un,n,noun,,,cooked steamed rice.,,,84
kányon,n,noun,,,cannon.,,,84
kapákapá,v,verb,,/mag-/,"to flutter, to be confused, to be excited so as not able to settle down.",Nagkapákapá silá pag’abút sang Presidénte.,They were excitedly confused when the President arrived. 57,84
Kapampángan,n,noun,,,"language spoken principally in Pampanga, some four towns in Tarlac, and two towns in Bata’an.",,,85
kapatás,n,noun,,,foreman.,,,85
kapáyas,n,noun,,,papaya.,,,85
kápkap,v,verb,,/mang-/,"to grope about, to feel one’s way like a blind man.",Nangápkap akú sa dulúm.,I gnoped my way in the dark.,85
kápid,n,noun,,,"twin, double.",,,85
kapílya,n,noun,,,small chapel.,,,85
kapín,adv,adverb,,,"more than, moreover, in addition.",,,85
kapitál,n,noun,,,capital.,,,85
kapitán,n,noun,,,captain.,,,85
kapitérya,n,noun,,,"cafeteria, canteen.",,,85
kapitólyo,n,noun,,,"capitol, provincial capitol.",,,85
kapituló,n,noun,,,chapter.,,,85
kaprítsu,n,noun,,,"mood, vices, wiles.",,,85
,adj,adjective,,/-sa/,"flighty, vain‚ wily.",Kapritsúsa na si Ramóna péro báta’ pa lang gáni’.,"Ramona is still young, but she is already wily.",85
kapún,v,verb,,/-un/,"of pigs or animals, to circumcise.",,,85
kapuslánan,n,noun,,,"usefulness, advantage.",,,85
kapút,v,verb,,"/mag-, -un/","to hold onto, to grasp, to clutch.",Nagkapút akú sang kutsílyo.,I clutched a knife.,85
kapúti,n,noun,,,raincoat.,,58,85
kápuy,n,noun,,,"tiredness, exhaustion.",,,86
,v,verb,,/-un/,"to be tired, to be exhausted.",,,86
kápyut,v,verb,,"/mag-, -an/","to hang onto for support, to grasp for support.",Nagkápyut akú sa sangá.,I held onto the branch.,86
karábkab,v,verb,,/mag-/,"to inflame, to ignite, to burst into flame.",Nagkarábkab ang kaláyu.,The fire burst into flame.,86
kárbaw,n,noun,,,"carabao, water buffalo.",,,86
karéra,n,noun,,,"race, contest.",,,86
,v,verb,,/mag-/,"to run a race, to race.",,,86
kárga,n,noun,,,"cargo, load.",,,86
,v,verb,,"/mag-, -un/","to load, to carry a heavy load.",Nagkárga silá sang mangá saku sang bugás.,They loaded sacks of rice.,86
karí,v,verb,,"/mag-, -un/","to approach, to come near the speaker.",Nagkarí ikáw kahápun.,You came here yesterday.,86
karidád,n,noun,,,charity.,,,86
karitéla,n,noun,,,horse and buggy.,,,86
karitún,n,noun,,,wheel.,,,86
kárne,n,noun,,,meat.,,,86
karnéro,n,noun,,,sheep.,,,86
karpentéro,n,noun,,,carpenter.,,,86
karsáda,n,noun,,,"road, street.",,,86
kartéro,n,noun,,,mailman.,,59,86
kárton,n,noun,,,"box, carton.",,,87
karún,adv,adverb,,,later.,,,87
karús,v,verb,,/-un/,"to scratch, to claw.",Ginkarús akú sang kuríng.,The cat scratched me.,87
karúskarús,adj,adjective,,,"written hurriedly, non-legible.",,,87
kasákit,n,noun,,,"suffering, hurt, sorrow.",,,87
kasál,n,noun,,,"marriage, wedding.",,,87
,v,verb,,"/mag-, -un/","to perform a marriage, to officiate a wedding.",Ginkasál sang pári’ si María kag si Pédro.,"Maria and Pedro were married by the priest.; /magpa-, -pa-…-un/ to get married, to marry, to wed. Nagpakasál si María kag si Pédro. Maria and Pedro got married.",87
kasán’u,adv,adverb,,,"a while ago, a little time passed.",,,87
kasangkápan,n,noun,,,"furniture, devices, materials.",,,87
kaséra,n,noun,,,"boarder, person who pays room and board.",,,87
,v,verb,,/mang-/,to pay room and board.,Nangaséra akú kánday Mrs. Sántos.,I stayed with Mrs. Santos.,87
kaseróla,n,noun,,,cooking pot.,,,87
kasilíngan,n,noun,,,neighbor.,,,87
kasílyas,n,noun,,,toilet.,,,87
kasimánwa,n,noun,,,folks from the same town or place of origin.,,,87
káso,n,noun,,,"legal case, lawsuit.",,60,87
kasualidád,intj,interjection,,,impossible.,,,88
kasúdlan,n,noun,,,"bowel, intestines.",,,88
kasugtánan,n,noun,,,"agreement, contract.",,,88
kasugu’án,n,noun,,,"order, command, rule, law.",,,88
katá’katá’,v,verb,,/mag-/,"to talk idly, to gossip.",,,88
katalágman,n,noun,,,"danger, hazard, harm, damage.",,,88
katalanghága’,adj,adjective,,,"unbelievable, incredible.",,,88
katápu’,n,noun,,,"member, a person who is in something as a member.",,,88
katáru,n,noun,,,"cold, running nose.",,,88
,v,verb,,/-un/,to have a cold.,Ginkatáru akú sang naglígad nga semána.,I had a cold last week.,88
katáw,n,noun,,,"nymph, mermaid.",,,88
katolikó,n,noun,,,"Catholic, a member of the Roman Catholic Church.",,,88
katórse,num,numeral,,,fourteen.,,,88
kátre,n,noun,,,bed.,,,88
katsíla’,n,noun,,,Spaniard.,,,88
katúl,adj,adjective,,/ma-/,itchy.,,,88
,v,verb,,/mag-/,to be itchy.,Nagkatúl ang áku úlu.,My head itched.,88
katúmbal,n,noun,,,pepper plant and fruit.,,,88
katúndan,n,noun,,,west.,,,88
katungdánan,n,noun,,,"duty, responsibility, obligation.",,61,88
ka’ugalíngun,n,noun,,,"own self, one’s own.",,,89
ka’ún,v,verb,,"/mag-, -un/","to eat, to devour.",Ginka’ún nilá ang prútas.,"They ate the fruits.; /magpa-, -pa-…-un/ to feed. Ginpaká’un ku ang mangá báta’. I fed the children.",89
ka-…-un,na,noun formative,,,"noun formative affix designating state, quality, degree.",Ang kalip’után sang báyu’ni Dína ginbádlung sang ilúy níya. The shortness of Dina’s dress was commented on by her mother.,,89
káwat,n,noun,,/ma-/,"burglar, thief, robber.",,,89
,adj,adjective,,/ma-/,"thief, robber.",,,89
,v,verb,,"/mag-, -un/","to steal, to rob.",Ginkáwat sang makáwat nga ákun reló.,The robber stole my watch.,89
káway,v,verb,,"/mag-, -un/","to dangle, to wave a hand, to wave in the wind.",Nagkáway ang bandéra.,The flag waved on.,89
kawáyan,n,noun,,,bamboo.,,,89
káw’it,n,noun,,,hook.,,,89
,v,verb,,"/mag-, -un/","to hook in, to take hold of by a hook.",Ginkáw’it ku ang pwertáhan.,I hooked the door.,89
1-kay,con,conjunction,,,"because, for.",Indí’ akú makakádtu kay masakít akú. I cannot go because I’m sick.,,89
2-kay,pt,particle,singular,,personal name pre-possessive marker.,Kay Juán iní. This is Juan’s.; particle designating direction towards or to. Naglakát ang báta’ sa kay Pédro.,The child went to Pedro. 62,89
kayába,v,verb,,/-un/,to hurry up.,Ginkayába ku ang trabáho.,"I worked hurriedly. káy sa con than, used to express difference in manner, state, or quality of two items. kay sín’u pr whose (singular).",90
kayumánggi’,adj,adjective,,,"dark brown in complexion, tan.",,,90
kemiká,n,noun,,,chemistry.,,,90
kemikó,n,noun,,,chemist.,,,90
kerída,n,noun,,,"mistress, a woman with whom a man cohabitates without the advantage of marriage.",,,90
késo,n,noun,,,cheese.,,,90
kibú’,v,verb,,/mag-/,"to throb, to pound continuously like a heart.",Nagkibú’ ang dúghan ku.,My heart throbbed.,90
kíbul,n,noun,,,corn on the feet.,,,90
,v,verb,,/-un/,to become calloused.,,,90
kibún,v,verb,,"/mag-, -un/","to surround, to besiege.",Ginkibún akú sang mangá píspis.,The birds surrounded me.,90
kibút,v,verb,,/-un/,"to surprise, to jolt, to startle.",Ginkibút ni Mário si Rósa.,Mario startled Rosa.,90
kidkid,v,verb,,"/mag-, -un/","to cut in thin slices, to slice very thinly.",Ginkídkid ku ang késo.,I sliced the cheese.,90
-kig-,va,verbal affix,,,social reciprocal actor focus affix.,Nakigbátuk si Mário kay Davíd.,Mario debated with David. 63,90
kigás,n,noun,,/ka-/,dryness.,,,91
,adj,adjective,,/ma-/,"dry, blight.",,,91
kíhad,v,verb,,"/mag-, -un/","to slice, with a knife.",Ginkíhad ku ang kamátis.,I sliced the tomato.,91
kílag,v,verb,,/mag-/,to look about curiously.,Nagkílag kamí sa dálan.,We looked about curiously on the way.,91
kilála,n,noun,,,"acquaintance, person with whom one has a facial acquaintance.",,,91
kilát,n,noun,,,lightning.,,,91
kílay,n,noun,,,eyebrow.,,,91
kílid,adv,adverb,,,"beside, on the brink.",,,91
kílo,n,noun,,,kilogram.,,,91
kilométro,n,noun,,,"kilometer, unit of distance measure which is equal to approximately 0.62 miles.",,,91
kímpit,n,noun,,,"pincer, prong, hair clip.",,,91
,v,verb,,"/mag-, -un/","to pick with a pincer, to pin hair together.",Nagkímpit si Lóurdes sang íya buhúk.,Lourdes pinned her hair together.,91
kina’ádman,n,noun,,,science.,,,91
kina-…-an,na,noun formative,,,noun formative affix designating plurality.,Nadúla ang mangá kina’adman nilá.,Their properties were lost.,91
kinabúhi’,n,noun,,,"life, life cycle.",,64,91
kinahánglan,v,verb,,"/mag-, -un/","to have need of, to demand.",Ginkinahánglan ku ang búlig nilá.,I demanded for their help.,92
kinánglan,v,verb,,,variant of kinahánglan.,,,92
kínse,num,numeral,,/-nal/,"fifteen.;  bimonthly, fortnightly.",,,92
kíntsay,n,noun,,,celery.,,,92
kínut,adj,adjective,,/ma-/,"thrifty, economical, frugal.",,,92
kíngki,n,noun,,,native oil or kerosene lamp made usually of an empty bottle with coconut oil or kerosene and a wick.,,,92
kíput,v,verb,,"/mag-, -un/","to shut, to close.",,,92
kiráb,v,verb,,"/mag-, -an/","to flash, to spark.",,,92
kisáp,v,verb,,/mag-/,"to blink, to twinkle, to open and shut the eyes rapidly.",,,92
kískis,v,verb,,"/mag-, -un/","to scrape with a sharp instrument, to rub with something sharp.",Ginkískis nilá ang balahíbo sang bábuy nga litsunún.,They scraped off the fur of the pig to be roasted.,92
kitá,pr,pronoun,,,we (inclusive first person plural nominal pronoun).,,,92
kíta’,v,verb,,/mag-/,to see each other.,Nagkíta’ kamí ka’ína.,"We saw each other earlier.; /mang-, pang-…-un/ to seek, to look for, to search for. Ginpangíta’ ku ang arítus nga nadúla’. I looked for my lost earrings.",92
kitíd,adj,adjective,,/ma-/,"slim, narrow.",,,92
kí’um,v,verb,,"/mag-, -un/",to close lips together.,Ginki’úm ku ang ákun bibíg.,I pursed my lips. 65,92
kláse,n,noun,,,class.,,,93
klásiko,adj,adjective,,,classic.,,,93
kliniká,n,noun,,,clinic.,,,93
kóbra,v,verb,,"/mag-, -un/",to collect money.,Nagkóbra akú sang swéldo.,I collected my salary.,93
,n,noun,,/-dor/,collector.,,,93
kobrekáma,n,noun,,,bedspread.,,,93
kodák,n,noun,,,"camera, picture.",,,93
kolékta,n,noun,,,money collection in church.,,,93
,v,verb,,"/mag-, -un/","to collect, to gather together.",,,93
koléhiyo,n,noun,,,"college, especially a religious-order-managed school.",,,93
kolerá,n,noun,,,"cholera, dysentery.",,,93
kolíntas,n,noun,,,necklace.,,,93
kolór,n,noun,,,color.,,,93
komersyánte,n,noun,,,small-time businessman who peddles his wares moving from one town to another during market days.,,,93
komidór,n,noun,,,diningroom.,,,93
kompányar,v,verb,,"/mag-, -an/","to accompany with a piano, to join in.",Nagkom-pányar akú kay Rosíta. I accompanied Rosita’s (song) on the piano.,,93
kondisyón,n,noun,,,"condition, mood, good physical condition.",,66,93
koného,n,noun,,,"rabbit, hare.",,,94
konsehál,n,noun,,,"municipal councilman, councilman.",,,94
konsého,n,noun,,,"municipal council, body of elected councilmen.",,,94
konsyérto,n,noun,,,orchestra concert.,,,94
kóntra,n,noun,,,"opponent, enemy.",,,94
,v,verb,,"/mag-, -un/","to oppose, to resist, to counteract.",Ginkóntra námun silá.,We opposed them.,94
kontráto,n,noun,,,"agreement, legal contract.",,,94
kongkréta,n,noun,,,"concrete, cement.",,,94
kongresísta,n,noun,,,"congressman, representative to Congress.",,,94
kongréso,n,noun,,,"congress, legislature.",,,94
kópya,n,noun,,,"copy, duplicate.",,,94
,v,verb,,"/mag-, -un/","to copy, to duplicate.",,,94
kordéro,n,noun,,,lamb.,,,94
koréo,n,noun,,,"mail, post office.",,,94
kóro,n,noun,,,"choir, chorus, place where the choir stays in church.",,,94
koróna,n,noun,,,crown.,,,94
korpínyo,n,noun,,,corset.,,,94
kórte,n,noun,,,"shape, design, judicial court.",,,94
kortesíya,n,noun,,,"courtesy, politeness.",,,94
kortína,n,noun,,,"curtain, drape.",,67,94
koryénte,n,noun,,,"electric wire, electric current.",,,95
,v,verb,,"/ma-, -un/",to get electrocuted.,Nakoryénte akú.,I was electrocuted.,95
kostúra,v,verb,,/mag-/,to sew a dress.,Nagkostúra si María sa báyu’ ni Nánay. Maria sewed Mother’s dress.,,95
,n,noun,,/-era/,dressmaker.,,,95
kótse,n,noun,,,"car, automobile.",,,95
krayóla,n,noun,,,crayon.,,,95
kriminál,n,noun,,,"criminal, convict.",,,95
kristál,n,noun,,,"crystal, glass.",,,95
Krísto,n,noun,,,Jesus Christ.,,,95
kristyáno,n,noun,,,christian.,,,95
ku,pr,pronoun,,/mag-/,"I, me.","(short form of nákun). kubá kub́á v  to throb, to palpitate, to beat like the heart. Nagkubákubá ang dúghan ku.",My heart throbbed.,95
kúbay,v,verb,,"/mag-, -un/","to line up, to fall in line.",Nagkúbay ang mangá tawu.,The people lined up.,95
kubús,adj,adjective,,,"poor, destitute.",,,95
kukú,n,noun,,,finger or toe nail.,,,95
kú’ku’,v,verb,,/mag-/,to stoop.,Nagkú’ku’ si Lucille.,Lucille stooped down.,95
kudál,n,noun,,,"fence, enclosure.",,68,95
kúdkud,v,verb,,"/mag-, -un/",to grate with a grater.,Ginkúdkud ku ang lubí sa kudkurán.,I grated the coconut with the grater.,96
kudkurán,n,noun,,,"grater, native grater of jagged iron spoon-like shape nailed to a wooden seat.",,,96
kúdlit,n,noun,,,"line, mark.",,,96
,v,verb,,"/mag-, -an/","to line, to mark, to draw with a pencil.",Nagkúdlit akú sa papél.,I drew on the paper.,96
kugá’,v,verb,,/-un/,"to throttle, to strangle, to choke.",Ginkugá’ ku ang idú’.,I choked the dog.,96
kúgmat,n,noun,,,"terror, dread.",,,96
,v,verb,,/-un/,"to be terrified, to be frightened, to be scared.",Ginkúgmat akú sa notísya.,I was terrified with the news.,96
kúgus,v,verb,,"/mag-, -un/","to bear, to hug, to cradle like a baby, to carry a baby in the arms.",Ginkúgus ku ang báta’.,I carried the child.,96
kúha’,v,verb,,"/mag-, -un/","to take, to get, to take away, to procure.",,,96
kúhit,v,verb,,"/mag-, -un/","to touch slightly to draw attention, to nudge.",Ginkúhit ku si María.,I nudged Maria.,96
kulá,n,noun,,,"glue, paste.",,,96
kulákig,adj,adjective,,,"sickly, emaciated.",,,96
kulámug,n,noun,,,dried mucus in the nose.,,,96
kúlang,adj,adjective,,,"lacking, incomplete, inadequate, short of.",,69,96
,v,verb,,"/mag-, -un/","to fall short of, to be inadequate.",Nagkúlang ang mangá libro pára sa kláse.,The books were not enough for the class.,97
kúlba’,n,noun,,,"anxiety, nervousness.",,,97
,v,verb,,/-an/,"to be nervous, to be afraid.",Ginkulba’án akú paglínug kahápun.,I was nervous during the earthquake yesterday.,97
kúli’,adj,adjective,,,"slow, weak.",,,97
kulíhut,adv,adverb,,,"last, hindmost.",,,97
kulú,n,noun,,,breadfruit.,,,97
kulúb,adj,adjective,,,"inverted, upset, turned over.",,,97
,v,verb,,/mag-/,"to invert, to turn over a deep container so that the bottom is up.",Nagkulúb ang yahúng.,The bowl turned over.,97
kúlun,n,noun,,,clay cooking pot.,,,97
kulúng,v,verb,,"/mag-, -un/","to cage, to imprison.",Ginkulúng ku ang píspis.,I caged the bird.,97
kulyápis,adj,adjective,,,emaciated.,,,97
kumalágku’,n,noun,,,"thumb, big toe.",,,97
kumbúya,n,noun,,,partner.,,,97
kumbuyahán,n,noun,,,"company, partnership.",,,97
kumpaníya,n,noun,,,"company, business enterprise.",,,97
kumpáre,n,noun,,,"comrade, relationship between the godfather and parents of the godchild.",,70,97
kumpisár,n,noun,,,confession.,,,98
,v,verb,,"/mag-, -un/","to confess, to tell the truth.",,,98
kúmud,v,verb,,"/mag-, -un/","to grumble, to murmur, to sulk.",Nagkúmud si Maria sa kwárto kay walá’ sya pagbákli sang sapátus.,Maria sulked in the room because no one bought her a new pair of shoes.,98
kún,con,conjunction,,,"if, possibly if, provided that.","Kun indí’ akú gina-kápuy, makádtu táni’ akú.","I would go if I were not feeling so tired. kún kís’a adv occasionally, sometimes, rarely.",98
kúndi’,con,conjunction,,,"although, but, well, therefore, might as well.","Walá’ man sya dirá’ sa baláy kundí’ malakát naláng kitá, a.",We might as well go. She is not home anyway.,98
kundíman,n,noun,,,"Filipino song which depicts mood changes of the people, usually written in the native languages and composed by Filipinos.",,,98
kuntáni’,pt,particle,,,"maybe, if possible, I hope.",Gústo ku kuntáni’ ma’upúd.,"This particle implies a possibility and hope for something favorable in the future, but a regret of past events. I would like to go along (if possible).",98
kunú,pt,particle,,,"according to, he or she said.",Makádtu sya kunú sa Pampánga.,This is a quoting particle. He said he will go to Pampanga.,98
kunúl,adj,adjective,,,"interrupted, shrank, dry (like a river).",,,98
,v,verb,,/mag-/,"to cease, to stop flowing, to run dry as a river.",Nagkunúl ang subá’.,The river ran dry. 71,98
kunúp,n,noun,,,"cloak, coat, overcoat.",,,99
kunút,adj,adjective,,,wrinkled.,,,99
,v,verb,,"/mag-, -an/","to wrinkle, to crumple.",Nagkunút ang íya ágtang pagkabatí nya sang notísya.,His forehead wrinkled when he heard the news.,99
kúnyag,n,noun,,,"chill, cold chill.",,,99
,v,verb,,/-un/,"to shake with chills, to shiver.",Ginkúnyag akú kahápun.,I had a chill yesterday.,99
kúpkup,n,noun,,,"embrace, hug.",,,99
,v,verb,,"/mag-, -an/","to embrace, to hug.",Ginkupkupán ku si Lóla.,I embraced my grandmother.,99
kupú’,v,verb,,"/mag-, -an/","to hang onto tightly, to embrace tightly, to cling to, to stick to like a lizard.",Nagkupú ang súksuk sa díngding.,The lizard clinged to the wall.,99
kúra,n,noun,,,"pastor of a parish, minister in charge of a certain area.",,,99
kúrba,n,noun,,,curve.,,,99
,v,verb,,"/mag-, -un/","to twist, to bend, to turn, to curve.",Nagkúrba ang alámbre.,The wire curved.,99
kurbáda,n,noun,,,"street corner, street curve.",,,99
kurbáta,n,noun,,,necktie.,,,99
kúri’,adj,adjective,,/ma-/,"slow, weak.",,72,99
,v,verb,,/mag-/,"to be slow, to have difficulty.",Nagkúri’ sya magka’ún.,He slowed down his eating.,100
kuribúng,v,verb,,/magpa-/,to isolate in a quiet room.,Nagpakuribúng akú sa kwárto.,I isolated myself in the room.,100
kurinút,adj,adjective,,,"creased, wrinkled.",,,100
,n,noun,,,"crease, fold, wrinkle.",,,100
,v,verb,,"/mag-, -un/","to fold, to crease, to wrinkle.",Nagkurinút ang papél.,The paper is wrinkled.,100
kuríng,n,noun,,,cat.,,,100
kurisúng,n,noun,,,frown.,,,100
,v,verb,,"/mag-, -an/",to frown.,,,100
kúrit,n,noun,,,"line, mark, pencil mark.",,,100
,v,verb,,"/mag-, -an/","to make a line, to draw on paper with a pencil, to mark with a pencil.",Ginkurítan ku ang papél.,I marked the paper.,100
kúrug,v,verb,,/mag-/,"to shiver, to tremble, to shake.",Nagkúrug akú sa katúgnaw.,I shivered from the cold.,100
kusámkusám,v,verb,,"/mag-, -un/","to taste, to partake of a little food.",Nagkusámkusám akú sa kusína.,I tasted the food in the kitchen.,100
kúskus,v,verb,,"/mag-, -un/",to scrape with a sharp instrument or with a scraper.,Nagkúskus akú sang lubí.,I scraped the coconut from the nut.,100
kúsi’,n,noun,,,"pinch, small piece.",,73,100
,v,verb,,"/mag-, -un/","to press or nip with fingernails, to pinch.",Ginkúsi’ ku si Noél.,I pinched Noel.,101
kusína,n,noun,,,kitchen.,,,101
kusinéro,n,noun,,,cook.,,,101
kusípad,v,verb,,"/mag-, -un/","to thumb through, to pick with the fingers like corn from the cob.",Nagkusípad kamí sang ma’ís.,We picked corn grains.,101
kusúg,adj,adjective,,/ma-/,"strong, energetic, healthy.",,,101
,n,noun,,,"energy, strength.",,,101
,v,verb,,/mag-/,"to become strong, to be energetic.",Nagkusúg si Senén sang pagdakú’ nya.,Senen grew stronger as he became older.,101
kúta’,n,noun,,,"prison, fort.",,,101
kutáwkutáw,v,verb,,"/mag-, -un/","to dilute, to mix with water.",,,101
kútkut,n,noun,,,hole in the ground.,,,101
,v,verb,,"/mag-, -an/","to excavate, to dig, to scoop out dirt from the ground so as to make a hole.",Nagkútkut kamí pára sa bubún.,We excavated for a well.,101
kutíng,n,noun,,,kitten.,,,101
kutíngkúting,v,verb,,"/mag-, -un/","to pluck or strum a guitar, to pluck a string instrument.",Nagkutíngkúting ánay sya sa gitára bágo magkánta.,"He strummed the guitar first, before he started his song.",101
kútis,n,noun,,,"skin complexion, facial complexion.",,,101
kutsára,n,noun,,,tablespoon.,,74,101
kutsaríta,n,noun,,,teaspoon.,,,102
kutséro,n,noun,,,"coachman, rig driver, man who drives a kalésa.",,,102
kutsílyo,n,noun,,,knife.,,,102
kútsukútsu,n,noun,,,"rumor, hearsay.",,,102
,v,verb,,"/mag, -un/","to chitchat, to gossip, to be rumored.",,,102
kutsún,n,noun,,,"cushion, bed mattress.",,,102
kútub,adv,adverb,,,until.,,,102
kutúl,v,verb,,"/mag-, -un/","to pick, to pluck from a plant, to gather flowers.",Nagkutúl akú sang mangá rosál sa hárdin.,I picked some gardenias from the garden.,102
kútut,v,verb,,"/mag-, -un/",to sting as a bee or a wasp.,Ginkútut sang búyug ang báta’.,The bee stung the child.,102
kú’ub,v,verb,,"/mag-, -an/","to bow, to bend the head as if in hiding.",Nagkú’ub akú sa lamésa.,I hid my head under the table.,102
kú’ut,v,verb,,"/mag-, -un/","to feel for, to fish out with the hand, to put one’s hand or arm in a hole.",,,102
kuyámpad,v,verb,,"/mag-, -un/","to run, to scamper off.",Nagkuyámpad silá sa plása.,They ran to the plaza.,102
kúymi,n,noun,,,cashier.,,,102
kwadérno,n,noun,,,notebook.,,,102
kwádra,n,noun,,,stable.,,75,102
kwádro,n,noun,,,"frame, picture frame.",,,103
kwáku,n,noun,,,"pipe, tobacco pipe.",,,103
kwán,pt,particle,,,whatchamacallit.,,,103
kwarénta,num,numeral,,,forty.,,,103
kwárta,n,noun,,,"money, cold cash.",,,103
kwártakwárta,n,noun,,,play money.,,,103
kwárto,n,noun,,,"room, enclosed area, bedroom.",,,103
kwátro,num,numeral,,,four.,,,103
kwéba,n,noun,,,cave.,,,103
kwélyo,n,noun,,,"collar, back of the neck.",,,103
kwénta,n,noun,,,"account, balance account.",,,103
,v,verb,,"/mag-, -un/","to account, to solve, to balance.",,,103
kwérdas,n,noun,,,string for a string instrument.,,,103
kwítis,n,noun,,,fireworks.,,76,103
,d,deictic,,,,,,104
dá’an,adj,adjective,,,"old, used, worn out.",,,104
,pt,particle,,,"beforehand, first of all, right away.",,,104
Pagkúha’,na,noun formative,,,dá’an sang pápel.,,Get a paper beforehand.,104
dabádabá,n,noun,,,"blaze, flame.",,,104
,v,verb,,/mag-/,"to flare up, to blaze, to be on fire.",Nagdabádabá ang kaláyu.,The fire blazed.,104
dábdab,n,noun,,,"flare, flame, blaze.",,,104
,v,verb,,"/mag-, -an/","to flare up, to blaze, to be on fire.",,,104
dábuk,v,verb,,"/mag-, -un/","to kindle a fire, to build a fire, to ignite.",Nagdábuk akú sang hilamún.,I ignited the grass.,104
dabúdabú,n,noun,,,"shower, drizzle.",,,104
dakbánwa,n,noun,,,city.,,,104
dakú’,adj,adjective,,,"big, bulky, huge, great.",,,104
,v,verb,,"/mag-, -an/","to become big, to make big.",Nagdakú’ ang báta’.,The child has grown bigger.,104
dakúp,v,verb,,"/mag-, -un/","to catch, to trap, to snare, to capture, to arrest.",Nagdakúp silá sang ísda’.,They caught a fish.,104
dagámi,n,noun,,,"hay, straw.",,,104
dágat,n,noun,,,"sea, ocean.",,77,104
,d,deictic,,,,,,105
dagát,n,noun,,,"seasickness, nausea.",,,105
