word,POS symbol,POS word,placement,affix,meaning,Example,English Sample,Page
sigahúm,v,verb,,"/mag-,-un/","to desire, to hanker after.",Nagsigahúm ikáw sang mánggad.,You desired for more wealth.,257
sigarílyo,n,noun,,,cigarette.,,,257
sígi,adv,adverb,,,"okay, alright, go ahead.",,,257
,v,verb,,"/mag-,-un/","to go ahead, to go on, to continue.",Nagsígi ang íla paghámbal.,Their talk continued.,257
sígput,v,verb,,"/mag-,-un/","to take up small particles, to collect the leavings.",Ginsígput ku ang bugás sa latún.,I took all the rice grains left in the can.,257
sígu,v,verb,,/mag-/,"to fit, to join perfectly.",Nagsígu ang takúp.,The cover fitted well.,257
sigúro,adv,adverb,,,"maybe, perhaps.",,,257
,adj,adjective,,/-ado/,"certain, for sure.",,,257
siháy,v,verb,,/mag-/,"to be different, to be in contrast, to separate from.",Nagsiháy si Victor sa grúpu.,Victor separated from the group.,257
sihigún,n,noun,,,rod.,,,257
silá,pr,pronoun,,,they (third person plural nominal pronoun).,,,257
sílak,n,noun,,,"rays of the sun, heat of the sun.",,,257
,v,verb,,"/mag-,-an/",to shine brightly.,,,257
sílaw,adj,adjective,,/ma-/,"glaring, extremely shiny, blinding.",,,257
sílhig,n,noun,,,broom.,,,257
,v,verb,,"/mag-,-un/",to sweep.,,,257
síli,n,noun,,,eel.,,230,257
síli’,adj,adjective,,/ma-/,"brilliant, smart.",,,258
silíng,n,noun,,,"saying, talk, words.",,,258
,v,verb,,"/mag-,-un/","to talk about, to say, to mention.",,,258
sílu,adj,adjective,,/ma-/,square.,,,258
sílung,n,noun,,,"basement, shelter.",,,258
,v,verb,,"/mag-,-an/",to take shelter.,Nagsílung silá sa idálum sang káhuy.,They took shelter under a tree.,258
sílut,v,verb,,"/-un,-an/","to punish, to condemn.",Ginsilútan ku ang báta’.,I punished the child.,258
símba,v,verb,,"/mag-,-un/","to worship, to go to church, to pay homage to.",,,258
,n,noun,,/-han/,church.,,,258
simbóryo,n,noun,,,"dome, belfry.",,,258
símbug,v,verb,,"/mag-,-un/","to mix, to dilute liquids.",,,258
símpli,adj,adjective,,,"simple, ordinary.",,,258
símpun,v,verb,,"/mag-,-un/","to join, to be together with.",Nagsímpun si Élma sa mangá laláki.,Elma joined the men.,258
sín,n,noun,,,galvanized iron.,,,258
siná’,d,deictic,,,"those, (far from the speaker).",,,258
síndi,n,noun,,,"flame, light.",,,258
,v,verb,,"/mag-,-an/","to light, to put a match to.",Nagsíndi ang táwu sang sigarílyo.,The man lighted a cigarette.,258
siní,d,deictic,,,these.,,231,258
síni,n,noun,,,"movie theatre, movie film.",,,259
sínsil,n,noun,,,chisel.,,,259
sinsílyo,n,noun,,,"small change, coins.",,,259
síntas,n,noun,,,"strip, ribbon of film.",,,259
sinú’,v,verb,,"/mag-,-un/",to shake so as to feel the sound.,Ginsinú’ ku ang niyúg.,I shook the coconut.,259
sín’u,pr,pronoun,,,who.,,,259
sínyal,n,noun,,,"sign, symbol, gesture.",,,259
,v,verb,,"/mag-,-an/","to make a sign, to gesticulate, to beacon.",,,259
sínyas,n,noun,,,"hint, cue, gesture, sign.",,,259
,v,verb,,"/mag-,-an/","to give the cue, to call, to give a hint.",Nagsínyas si Wilma sa ákun.,Wilma called me.,259
síng,pt,particle,,,variant of sang.,,,259
singkamás,n,noun,,,turnip.,,,259
síngki’,adj,adjective,,,"corny, unaccustomed, unsophisticated.",,,259
síngko,num,numeral,,,five.,,,259
,n,noun,,,five centavo piece.,,,259
singkwénta,num,numeral,,,fifty.,,,259
sínggit,n,noun,,,shout.,,,259
,v,verb,,"/mag-,-un/","to shout, to howl.",,,259
sínghut,n,noun,,,"sniff, smell.",,,259
,v,verb,,"/mag-,-un/","to sniff, to smell closely.",,232,259
singíl,n,noun,,,"sprout, seedling.",,,260
,v,verb,,/mag-/,"to sprout, to germinate.",Nagsingíl ang búlak.,The flower plant sprouted.,260
singít,n,noun,,,"pole, pole with a hook for gathering fruits.",,,260
síngsing,n,noun,,,ring.,,,260
sípa’,n,noun,,,"kick, Filipino game of kick ball.",,,260
,v,verb,,"/mag-,-un/",to kick.,,,260
sipák,v,verb,,/mag-/,to separate from.,Nagsipák sa dálan si Bérting.,Berting separated from us on the way.,260
sipála,v,verb,,"/magpa-,-pa-…-an/","to insult, to scorn.",Ginpasipaláhan mu akú.,You insulted me.,260
sipí’,n,noun,,,"one piece, one piece of an orange.",,,260
sipílyo,n,noun,,,toothbrush.,,,260
sípit,v,verb,,"/mag-,-un/",to carry under the arm.,Ginsípit ku ang líbro pakádtu sa eskwelahán.,I carried the book under my arm going to school.,260
síplat,n,noun,,,"glance, stolen glimpse.",,,260
,v,verb,,"/magpa-, -pa-…-un/",to steal a look at.,Nagpasíplat si José kay María.,Jose took a glimpse of Maria.,260
síp’un,n,noun,,,"cold, running nose.",,,260
sirá,n,noun,,,"lock, bar.",,,260
,adj,adjective,,/-ado/,"closed, locked.",,,260
,v,verb,,"/mag-,-an/","to close, to lock.",,233,260
sirgwélas,n,noun,,,tropical plum.,,,261
sirirítan,n,noun,,,cricket.,,,261
sír’um,n,noun,,,"dark, dusk.",,,261
sistéma,n,noun,,,system.,,,261
sítsit,v,verb,,"/mag-,-an/","to hiss at, to produce a long hissing sound so as to call attention.",Nagsítsit si Líto.,Lito called with a hiss.,261
sítyu,n,noun,,,political and area division smaller than a barrio or village.,,,261
si’úd,n,noun,,,"fish trap, loop.",,,261
,v,verb,,"/mag-,-un/","to trap fish, to gather fish from a si’úd.",,,261
síwil,n,noun,,,"twig, young sprout.",,,261
síya,n,noun,,,"chair, saddle.",,,261
siyám,num,numeral,,,nine.,,,261
sóbra,adv,adverb,,,"over, too much.",,,261
,n,noun,,,"lift-over, balance.",,,261
,v,verb,,"/mag-,-an/",to be more than necessary.,,,261
,v,verb,,"/mag-,-un/","to add together, to get the sum.",,,261
sóbre,n,noun,,,envelope.,,,261
soldádo,n,noun,,,soldier.,,,261
soltéro,n,noun,,,single man of age fifteen and up.,,,261
sopá,n,noun,,,"couch, sofa.",,,261
sorbéte,n,noun,,,ice cream.,,234,261
soríso,n,noun,,,sausage.,,,262
sú’ay,v,verb,,"/mag-,-un/","to debate, to dispute, to disobey.",Nagsú’ay ang duhá.,The two debated.,262
,adj,adjective,,/pala-/,"disobedient, hostile.",,,262
subá’,n,noun,,,river.,,,262
subáng,n,noun,,,oldest child.,,,262
subáy,n,noun,,,"ant, red ant.",,,262
súbli’,v,verb,,"/mag-,-un/","to inherit, to be heir to.",,,262
,n,noun,,/pang-/,"legacy, heritage; /mang-/ heir.",,,262
subú’,n,noun,,/ka-/,"sadness, sorrow, loneliness.",,,262
,adj,adjective,,/ma-/,"sad, lonely, sorrowful.",,,262
,v,verb,,"/ma-…-an, -an/","to become sad, to feel lonely.",Ginsubu’án akú sang natabú’.,I felt sad because of the incident.,262
súbul,v,verb,,/-un/,"to cast out, to drive away, to renounce.",Ginsúbul sang Amerikáno ang “Vietcong”.,The American renounced the Vietcong.,262
subúng,adv,adverb,,,"now, like, similarly.",,,262
súka,n,noun,,,"spew, vomit.",,,262
,v,verb,,"/mag-,-un/","to vomit, to throw up.",,,262
súka’,n,noun,,,vinegar.,,,262
súkat,n,noun,,,measurement.,,,262
,v,verb,,"/mag-,-un/",to measure.,,,262
súk’ay,v,verb,,"/mag-,-un/","to dig up earth, to turn up earth with a hand tool.",Nagsúk’ay akú sang batú.,I dug out the stone. 235,262
súki’,n,noun,,,"favorite customer, favorite salesman.",,,263
súl’ub,v,verb,,"/mag-,-un/","to dress, to put on a dress, to wear a garment.",,,263
súksuk,n,noun,,,"apparel, dress, house lizard.",,,263
,v,verb,,"/mag-,-un/","to wear a garment, to put on, to don.",,,263
sukúb,v,verb,,"/mag-,-un/",to measure the quantity of.,Ginsúkub ku ang bugás.,I measured the rice.,263
sukút,n,noun,,,"payment, price, collection.",,,263
,v,verb,,"/mag-,-un/","to collect, to ask for payment.",,,263
súd’an,n,noun,,,"main course of a meal, viand to go with rice during a meal.",,,263
sugá’,n,noun,,,"light, electric bulb.",,,263
sugál,n,noun,,,"gambling, risk.",,,263
,v,verb,,"/mag-,-un/","to gamble, to take the risk.",,,263
súgat,v,verb,,"/mag-,-un/",to fetch people.,Nagsúgat si José kay Lýdia.,Jose fetched Lydia.,263
sugatá’,v,verb,,"/mag-,-un/","to encounter, to meet accidentally, to come from different directions.",Nagsugatá’ si Nélson kag si António.,Nelson and Antonio met each other.,263
súgba,v,verb,,"/mag-,-un/","to roast, to broil, to broil directly on top of live coal.",,,263
súgbu,v,verb,,"/mag-,-un/","to jump overboard, to dive into.",Nagsúgbu ang táwu.,The man dove.,263
súghaw,v,verb,,"/mag-,-un/","to glean, to pick after a reaper.",,236,263
súgid,n,noun,,,"disclosure, story.",,,264
,v,verb,,"/mag-,-un/","to tell, to disclose.",,,264
sugilánun,n,noun,,,"story, conversation.",,,264
,v,verb,,"/mag-,-un/","to tell a story, to converse with.",,,264
súgpa’,v,verb,,"/mag-,-un/",to spit blood.,,,264
súgpu,n,noun,,,lobster.,,,264
súgpun,n,noun,,,"connection, adjoining part, continuation.",,,264
,v,verb,,"/mag-,-un/","to adjoin, to connect, to continue.",,,264
súgu’,n,noun,,,"command, request.",,,264
,v,verb,,"/mag-,-un/","to request, to command, to decree.",,,264
súgud,n,noun,,/-in-…-an/,"start, beginning.",,,264
,v,verb,,"/mag-,-an/","to start, to begin, to commence.",,,264
sugút,n,noun,,/ka-…-anan/,"agreement, contract.",,,264
,v,verb,,"/mag-,-an/","to consent, to agree, to allow, to permit.",,,264
súgyut,v,verb,,/-un/,"to urge on, to induce, to provoke.",Ginsúgyut ni Rogelío si Dína.,Rogelio provoked Dina.,264
súhul,n,noun,,,"salary, pay.",,,264
,v,verb,,"/mag-,-un/","to pay wages, to give salary to.",,,264
súhut,v,verb,,"/mag-,-un/","to creep through, to go under, to crawl through a narrow passage.",Nagsúhut ang báta’ sa lamésa.,The child went under the table. 237,264
,n,noun,,/pa-/,bribe.,,,265
súlab,n,noun,,,blade.,,,265
sulábi,v,verb,,"/magpa-,-pa-…-un/","to pet, to discriminate, to prefer, to distinguish.",Ginpasulábi sang Nánay ang mánghud.,The Mother preferred the younger child.,265
sulát,n,noun,,,"handwriting, letter.",,,265
,v,verb,,"/mag-,-un/",to write.,,,265
suláy,v,verb,,"/mag-,-un/","to tempt, to induce, to do otherwise.",Ginsuláy ku ang súgu’ ni Nánay.,I disobeyed the command of my mother.,265
súlda,v,verb,,"/mag-,-un/",to weld together.,,,265
súlhay,adj,adjective,,/ma-/,"comfortable, at ease.",,,265
,n,noun,,/ka-/,"comfort, ease.",,,265
,v,verb,,/mag-/,"to become easy, to live in comfort.",Nagsúlhay ang íla pangabúhi’.,They lived in comfort (after a while).,265
sulí’,v,verb,,"/mag-,-un/",to turn upside down.,Nagsulí’ ang báso.,The glass overturned.,265
súlip,v,verb,,"/mag-,-un/","to pass under the house, to dive.",,,265
súlit,v,verb,,"/mag-,-un/","to test, to repeat, to do again.",Ginsúlit ku ang síni.,I saw the movie again.,265
súlu,adv,adverb,,,"alone, solely.",,,265
sulú’,n,noun,,,torch.,,,265
súluk,n,noun,,,corner.,,,265
sulúd,id,idiom,,,"come in, enter.",,,265
,n,noun,,,"inside, room.",,238,265
,v,verb,,"/mag-,-un/","to enter, to go inside, to put inside.",,,266
súlsul,v,verb,,"/mag-,-un/","to press on, to insist.",,,266
súlung,v,verb,,"/mag-,-un/","to inspect, to raid.",Ginsúlung sang mangá sikréta ang sugálan.,The detectives raided the gambling den.,266
